# TIPO,LOGRADOURO,BAIRRO,CIDADE
RUA,SAO GUILHERME,SANTA INES,BELO HORIZONTE
RUA,SARGENTO VILMAR DE OLIVEIRA,BETANIA,BELO HORIZONTE
BECO,A,CABANA,BELO HORIZONTE
RUA,GERALDINO HELEODORO DE CARVALHO,SAO BERNARDO,BELO HORIZONTE
RUA,RENATO TARSIA,CASTANHEIRA I VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,A,JARDIM VITORIA,BELO HORIZONTE
RUA,A,SERRA VERDE (VENDA NOVA),BELO HORIZONTE
RUA,A,CONJUNTO MINASCAIXA,BELO HORIZONTE
RUA,A,PRIMEIRO DE MAIO,BELO HORIZONTE
RUA,A,VILA PINHO VALE DO JATOBA (BARREIRO),BELO HORIZONTE
RUA,A,SANTA LUCIA,BELO HORIZONTE
RUA,A,CONJUNTO CONFISCO,BELO HORIZONTE
RUA,A,ALTO DOS PINHEIROS,BELO HORIZONTE
RUA,A,CALIFORNIA,BELO HORIZONTE
RUA,A,HAVAI,BELO HORIZONTE
RUA,A,SAO LUIZ,BELO HORIZONTE
RUA,A,NOVO AARAO REIS,BELO HORIZONTE
RUA,A,BRAUNAS,BELO HORIZONTE
RUA,IRINEU GARCIA DE OLIVEIRA,INDEPENDENCIA (BARREIRO),BELO HORIZONTE
RUA,A,VISTA ALEGRE,BELO HORIZONTE
RUA,OTAVIANO RODRIGUES DE SOUZA,CONJUNTO JATOBA (BARREIRO),BELO HORIZONTE
RUA,A,CDI JATOBA (BARREIRO),BELO HORIZONTE
RUA,A-1,MARAJO,BELO HORIZONTE
RUA,A-2,MARAJO,BELO HORIZONTE
RUA,HUGO CAMPOS MARTINS,TIROL (BARREIRO),BELO HORIZONTE
RUA,A-4,BETANIA,BELO HORIZONTE
RUA,EUSTAQUIO DE JESUS DO NASCIMENTO,SANTA CRUZ (BARREIRO),BELO HORIZONTE
RUA,A-4,MARAJO,BELO HORIZONTE
BECO,AA,VILA BARRAGEM SANTA LUCIA,BELO HORIZONTE
RUA,AARAO REIS,CENTRO,BELO HORIZONTE
RUA,ABACABA,SUZANA,BELO HORIZONTE
PRACA,DOS ABACATEIROS,VILA CLORIS,BELO HORIZONTE
RUA,DOS ABADES,OURO MINAS,BELO HORIZONTE
PRACA,ABADIA,ESPLANADA,BELO HORIZONTE
RUA,ABADIA DOS DOURADOS,MINASLANDIA (P MAIO),BELO HORIZONTE
RUA,ABAETE,BONFIM,BELO HORIZONTE
RUA,ABAIBA,SAO PAULO,BELO HORIZONTE
RUA,ABATI,SANTA MARIA,BELO HORIZONTE
RUA,ABATIA,CONJUNTO CELSO MACHADO,BELO HORIZONTE
RUA,ABDALA FABIO COURI,CAMARGOS,BELO HORIZONTE
RUA,ABDENAGO LISBOA,HELIOPOLIS,BELO HORIZONTE
PRACA,ABDO ARGES KALIL,SION,BELO HORIZONTE
RUA,ABEILARD PEREIRA,JARDIM ATLANTICO,BELO HORIZONTE
RUA,ABEL,GLORIA,BELO HORIZONTE
RUA,ABERTADA,FLAVIO MARQUES LISBOA (BARREIRO),BELO HORIZONTE
RUA,ABIGAIL TOLEDO DE GOUVEIA,GARCAS,BELO HORIZONTE
RUA,ABILIO BARRETO,LAJEDO,BELO HORIZONTE
RUA,ABILIO ESTRELA,JARDIM GUANABARA,BELO HORIZONTE
RUA,ABILIO FERNANDES DE OLIVEIRA,JARDIM VITORIA,BELO HORIZONTE
RUA,ABILIO MACHADO,SAGRADA FAMILIA,BELO HORIZONTE
RUA,ABILIO MEIRELES,CONJUNTO SANTA MARIA,BELO HORIZONTE
RUA,ABILIO RODRIGUES PEREIRA,VILA PINHO VALE DO JATOBA (BARREIRO),BELO HORIZONTE
ALAMEDA,ABIURANA,DOM CABRAL,BELO HORIZONTE
RUA,DA ABOLICAO,JARDIM DOS COMERCIARIOS (VENDA NOVA),BELO HORIZONTE
RUA,ABRAHAO JOAO,PARQUE SAO JOSE,BELO HORIZONTE
