COD_LINH	NUM_SUBL	NUM_PONT_CTRL_ORIG	NUM_SEQU_ITIN	NUM_SEQU_PONT	NOM_LINH	NOM_SUBL	DES_PONT_CTRL	NOM_MUNC	TIP_LOGR	NOM_LOGR	NUM_IMOV	DAT_VIGE_ESPF
101	1	1	5	20	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	AVE	ARTUR BERNARDES	3951	21/06/2012
101	1	1	5	30	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	AVE	ARTUR BERNARDES	3107	21/06/2012
101	1	1	5	40	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	AVE	ARTUR BERNARDES	1337	21/06/2012
101	1	1	5	45	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	AVE	ARTUR BERNARDES	85	21/06/2012
101	1	1	40	20	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	30	21/06/2012
101	1	1	40	30	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	308	21/06/2012
101	1	1	40	40	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	518	21/06/2012
101	1	1	40	50	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	590	21/06/2012
101	1	1	40	60	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	718	21/06/2012
101	1	1	40	70	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	906	21/06/2012
101	1	1	130	10	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	RAIMUNDO TINTI	295	21/06/2012
101	1	1	140	20	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO TOMAZ DE AQUINO	517	21/06/2012
101	1	1	140	30	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO TOMAZ DE AQUINO	415	21/06/2012
101	1	1	140	40	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO TOMAZ DE AQUINO	25	21/06/2012
101	1	1	170	10	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	CAMPO BELO	311	21/06/2012
101	1	1	200	10	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO JOAO EVANGELISTA	184	21/06/2012
101	1	1	205	20	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	CRISTINA	945	21/06/2012
101	1	1	209	10	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO JOAO EVANGELISTA	185	21/06/2012
101	1	1	210	10	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	CAMPO BELO	334	21/06/2012
101	1	1	240	20	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO TOMAZ DE AQUINO	420	21/06/2012
101	1	1	240	30	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	SAO TOMAZ DE AQUINO	630	21/06/2012
101	1	1	290	40	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	701	21/06/2012
101	1	1	290	70	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	309	21/06/2012
101	1	1	290	80	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	RUA	PRINCIPAL	19	21/06/2012
101	1	1	300	20	AGLOMERADO SANTA LUCIA	PRINCIPAL	SAO PEDRO	BELO HORIZONTE	AVE	ARTUR BERNARDES	3951	21/06/2012
102	1	1	2	10	NOSSA SENHORA DE FATIMA/HOSPITAL EVANGELICO	PRINCIPAL	NOSSA SENHORA DE FATIMA	BELO HORIZONTE	RUA	SAO MIGUEL ARCANJO	1	12/12/2008
102	1	1	6	20	NOSSA SENHORA DE FATIMA/HOSPITAL EVANGELICO	PRINCIPAL	NOSSA SENHORA DE FATIMA	BELO HORIZONTE	RUA	NOSSA SENHORA DE FATIMA	2325	12/12/2008
102	1	1	6	30	NOSSA SENHORA DE FATIMA/HOSPITAL EVANGELICO	PRINCIPAL	NOSSA SENHORA DE FATIMA	BELO HORIZONTE	RUA	NOSSA SENHORA DE FATIMA	1983	12/12/2008
